"pH";"logD"
"0.0";"-2.66"
"0.1";"-2.62"
"0.2";"-2.58"
"0.3";"-2.54"
"0.4";"-2.51"
"0.5";"-2.48"
"0.6";"-2.46"
"0.7";"-2.43"
"0.8";"-2.41"
"0.9";"-2.38"
"1.0";"-2.36"
"1.1";"-2.33"
"1.2";"-2.30"
"1.3";"-2.27"
"1.4";"-2.23"
"1.5";"-2.20"
"1.6";"-2.15"
"1.7";"-2.10"
"1.8";"-2.05"
"1.9";"-1.99"
"2.0";"-1.93"
"2.1";"-1.87"
"2.2";"-1.81"
"2.3";"-1.74"
"2.4";"-1.67"
"2.5";"-1.61"
"2.6";"-1.54"
"2.7";"-1.48"
"2.8";"-1.43"
"2.9";"-1.37"
"3.0";"-1.32"
"3.1";"-1.28"
"3.2";"-1.24"
"3.3";"-1.20"
"3.4";"-1.17"
"3.5";"-1.15"
"3.6";"-1.13"
"3.7";"-1.11"
"3.8";"-1.10"
"3.9";"-1.08"
"4.0";"-1.07"
"4.1";"-1.06"
"4.2";"-1.06"
"4.3";"-1.05"
"4.4";"-1.05"
"4.5";"-1.05"
"4.6";"-1.04"
"4.7";"-1.04"
"4.8";"-1.04"
"4.9";"-1.04"
"5.0";"-1.04"
"5.1";"-1.04"
"5.2";"-1.03"
"5.3";"-1.03"
"5.4";"-1.03"
"5.5";"-1.03"
"5.6";"-1.03"
"5.7";"-1.03"
"5.8";"-1.03"
"5.9";"-1.03"
"6.0";"-1.03"
"6.1";"-1.03"
"6.2";"-1.03"
"6.3";"-1.03"
"6.4";"-1.03"
"6.5";"-1.03"
"6.6";"-1.03"
"6.7";"-1.03"
"6.8";"-1.03"
"6.9";"-1.03"
"7.0";"-1.03"
"7.1";"-1.03"
"7.2";"-1.03"
"7.3";"-1.03"
"7.4";"-1.03"
"7.5";"-1.03"
"7.6";"-1.03"
"7.7";"-1.03"
"7.8";"-1.03"
"7.9";"-1.03"
"8.0";"-1.03"
"8.1";"-1.03"
"8.2";"-1.03"
"8.3";"-1.03"
"8.4";"-1.03"
"8.5";"-1.03"
"8.6";"-1.03"
"8.7";"-1.03"
"8.8";"-1.03"
"8.9";"-1.03"
"9.0";"-1.03"
"9.1";"-1.03"
"9.2";"-1.03"
"9.3";"-1.03"
"9.4";"-1.03"
"9.5";"-1.03"
"9.6";"-1.03"
"9.7";"-1.03"
"9.8";"-1.03"
"9.9";"-1.04"
"10.0";"-1.04"
"10.1";"-1.04"
"10.2";"-1.04"
"10.3";"-1.04"
"10.4";"-1.04"
"10.5";"-1.05"
"10.6";"-1.05"
"10.7";"-1.05"
"10.8";"-1.06"
"10.9";"-1.06"
"11.0";"-1.07"
"11.1";"-1.08"
"11.2";"-1.09"
"11.3";"-1.11"
"11.4";"-1.13"
"11.5";"-1.15"
"11.6";"-1.17"
"11.7";"-1.20"
"11.8";"-1.24"
"11.9";"-1.27"
"12.0";"-1.32"
"12.1";"-1.36"
"12.2";"-1.42"
"12.3";"-1.47"
"12.4";"-1.53"
"12.5";"-1.59"
"12.6";"-1.65"
"12.7";"-1.72"
"12.8";"-1.78"
"12.9";"-1.84"
"13.0";"-1.90"
"13.1";"-1.95"
"13.2";"-2.00"
"13.3";"-2.05"
"13.4";"-2.09"
"13.5";"-2.13"
"13.6";"-2.16"
"13.7";"-2.19"
"13.8";"-2.22"
"13.9";"-2.24"
"14.0";"-2.26"