"pH";"mg/ml"
"0.0";"432.93"
"0.1";"279.18"
"0.2";"180.97"
"0.3";"118.03"
"0.4";"77.56"
"0.5";"51.40"
"0.6";"34.42"
"0.7";"23.31"
"0.8";"16.00"
"0.9";"11.14"
"1.0";"7.88"
"1.1";"5.67"
"1.2";"4.15"
"1.3";"3.10"
"1.4";"2.35"
"1.5";"1.83"
"1.6";"1.44"
"1.7";"1.16"
"1.8";"0.96"
"1.9";"0.80"
"2.0";"0.69"
"2.1";"0.60"
"2.2";"0.54"
"2.3";"0.49"
"2.4";"0.45"
"2.5";"0.43"
"2.6";"0.41"
"2.7";"0.41"
"2.8";"0.41"
"2.9";"0.42"
"3.0";"0.43"
"3.1";"0.46"
"3.2";"0.50"
"3.3";"0.55"
"3.4";"0.63"
"3.5";"0.73"
"3.6";"0.86"
"3.7";"1.05"
"3.8";"1.31"
"3.9";"1.68"
"4.0";"2.20"
"4.1";"2.95"
"4.2";"4.04"
"4.3";"5.65"
"4.4";"8.04"
"4.5";"11.64"
"4.6";"17.10"
"4.7";"25.44"
"4.8";"38.28"
"4.9";"58.14"
"5.0";"89.01"
"5.1";"137.15"
"5.2";"212.48"
"5.3";"330.65"
"5.4";"441.40"
"5.5";"441.40"
"5.6";"441.40"
"5.7";"441.40"
"5.8";"441.40"
"5.9";"441.40"
"6.0";"441.40"
"6.1";"441.40"
"6.2";"441.40"
"6.3";"441.40"
"6.4";"441.40"
"6.5";"441.40"
"6.6";"441.40"
"6.7";"441.40"
"6.8";"441.40"
"6.9";"441.40"
"7.0";"441.40"
"7.1";"441.40"
"7.2";"441.40"
"7.3";"441.40"
"7.4";"441.40"
"7.5";"441.40"
"7.6";"441.40"
"7.7";"441.40"
"7.8";"441.40"
"7.9";"441.40"
"8.0";"441.40"
"8.1";"441.40"
"8.2";"441.40"
"8.3";"441.40"
"8.4";"441.40"
"8.5";"441.40"
"8.6";"441.40"
"8.7";"441.40"
"8.8";"441.40"
"8.9";"441.40"
"9.0";"441.40"
"9.1";"441.40"
"9.2";"441.40"
"9.3";"441.40"
"9.4";"441.40"
"9.5";"441.40"
"9.6";"441.40"
"9.7";"441.40"
"9.8";"441.40"
"9.9";"441.40"
"10.0";"441.40"
"10.1";"441.40"
"10.2";"441.40"
"10.3";"441.40"
"10.4";"441.40"
"10.5";"441.40"
"10.6";"441.40"
"10.7";"441.40"
"10.8";"441.40"
"10.9";"441.40"
"11.0";"441.40"
"11.1";"441.40"
"11.2";"441.40"
"11.3";"441.40"
"11.4";"441.40"
"11.5";"441.40"
"11.6";"441.40"
"11.7";"441.40"
"11.8";"441.40"
"11.9";"441.40"
"12.0";"441.40"
"12.1";"441.40"
"12.2";"441.40"
"12.3";"441.40"
"12.4";"441.40"
"12.5";"441.40"
"12.6";"441.40"
"12.7";"441.40"
"12.8";"441.40"
"12.9";"441.40"
"13.0";"441.40"
"13.1";"441.40"
"13.2";"441.40"
"13.3";"441.40"
"13.4";"441.40"
"13.5";"441.40"
"13.6";"441.40"
"13.7";"441.40"
"13.8";"441.40"
"13.9";"441.40"
"14.0";"441.40"